[GIN] 2026/04/07 - 14:15:10 | 200 |   1.51ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 14:15:10 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:15:10 | 200 |   1.53ms |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 14:15:11 | 200 |  51.07ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:15:20 | 200 |  54.29ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:15:20 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 14:15:20 | 200 |       0s |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 14:15:21 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:15:21 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 14:15:21 | 200 |   2.18ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 14:15:21 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:15:21 | 200 |  503.8µs |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 14:15:22 | 200 |  48.42ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:17:22 | 200 |  48.48ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:17:22 | 200 |  503.5µs |       127.0.0.1 | GET      "/api/library/chapters/17/content"
[GIN] 2026/04/07 - 14:17:22 | 200 |   1.58ms |       127.0.0.1 | GET      "/api/library/chapters/18/content"
[GIN] 2026/04/07 - 14:17:22 | 200 |   1.58ms |       127.0.0.1 | GET      "/api/library/chapters/19/content"
[GIN] 2026/04/07 - 14:17:22 | 200 |   2.63ms |       127.0.0.1 | GET      "/api/library/chapters/21/content"
[GIN] 2026/04/07 - 14:17:22 | 200 |    3.8ms |       127.0.0.1 | GET      "/api/library/chapters/20/content"
[GIN] 2026/04/07 - 14:17:22 | 200 |  69.68ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:17:23 | 200 |  55.66ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:17:30 | 200 |  53.69ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:17:30 | 200 |  56.77ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:17:31 | 200 |  55.02ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:18:21 | 200 |  65.62ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:18:21 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 14:18:21 | 200 |  504.8µs |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 14:18:21 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:18:21 | 200 |  507.9µs |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 14:18:22 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:18:22 | 200 |   2.07ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 14:18:22 | 200 |   2.03ms |       127.0.0.1 | GET      "/api/library/chapters/17/content"
[GIN] 2026/04/07 - 14:18:22 | 200 |  55.55ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:18:39 | 200 |  52.73ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:18:41 | 200 |  58.41ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:18:41 | 200 |   4.48ms |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 14:18:41 | 200 |   1.04ms |       127.0.0.1 | GET      "/api/library/chapters/18/content"
[GIN] 2026/04/07 - 14:18:41 | 200 |   1.56ms |       127.0.0.1 | GET      "/api/library/chapters/19/content"
[GIN] 2026/04/07 - 14:18:41 | 200 |    2.1ms |       127.0.0.1 | GET      "/api/library/chapters/20/content"
[GIN] 2026/04/07 - 14:18:41 | 200 |    2.1ms |       127.0.0.1 | GET      "/api/library/chapters/21/content"
[GIN] 2026/04/07 - 14:18:41 | 200 |  61.19ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:18:42 | 200 |  54.02ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:19:23 | 200 |  72.38ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:19:35 | 200 |  47.28ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:19:43 | 200 |  50.75ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:20:01 | 200 |  50.33ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:20:11 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 14:20:11 | 200 |       0s |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 14:20:11 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:20:11 | 200 |  787.3µs |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 14:20:12 | 200 |  508.8µs |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:20:12 | 200 |   8.95ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 14:20:12 | 200 |  506.2µs |       127.0.0.1 | GET      "/api/library/chapters/17/content"
[GIN] 2026/04/07 - 14:20:12 | 200 |  48.75ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:22:55 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 14:22:55 | 200 | 304.96ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:22:55 | 200 |  505.2µs |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 14:22:55 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:22:55 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/4"
